number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9668279516003022,2026-01-13 00:40:20.519535,2026-01-13 00:40:21.350344,0 days 00:00:00.830809,25,4,5,106,COMPLETE
1,0.9650904998628504,2026-01-13 00:40:21.417326,2026-01-13 00:40:22.148094,0 days 00:00:00.730768,5,4,6,99,COMPLETE
2,0.9650904998628504,2026-01-13 00:40:22.160438,2026-01-13 00:40:23.452923,0 days 00:00:01.292485,22,4,7,188,COMPLETE
3,0.9683840743145626,2026-01-13 00:40:23.466743,2026-01-13 00:40:24.018905,0 days 00:00:00.552162,26,2,4,60,COMPLETE
4,0.9650904998628504,2026-01-13 00:40:24.031244,2026-01-13 00:40:24.872716,0 days 00:00:00.841472,20,2,4,113,COMPLETE
5,0.9634695154832456,2026-01-13 00:40:24.884128,2026-01-13 00:40:25.863261,0 days 00:00:00.979133,20,5,9,141,COMPLETE
6,0.9633208583678086,2026-01-13 00:40:25.875424,2026-01-13 00:40:27.076191,0 days 00:00:01.200767,16,5,2,165,COMPLETE
7,0.9633818804883273,2026-01-13 00:40:27.089618,2026-01-13 00:40:28.289215,0 days 00:00:01.199597,26,3,8,167,COMPLETE
8,0.9633818804883273,2026-01-13 00:40:28.302438,2026-01-13 00:40:28.817763,0 days 00:00:00.515325,23,3,4,61,COMPLETE
9,0.9650863316676078,2026-01-13 00:40:28.830781,2026-01-13 00:40:29.322897,0 days 00:00:00.492116,21,2,2,61,COMPLETE
